Port Name,Date,Value
Van Buren,12/1/1996 00:00,97831
Van Buren,12/1/1997 00:00,104348
Van Buren,12/1/1998 00:00,2568
Van Buren,12/1/1999 00:00,80846
Van Buren,12/1/2000 00:00,72052
Van Buren,12/1/2001 00:00,62686
Van Buren,12/1/2002 00:00,68083
Van Buren,12/1/2003 00:00,75458
Van Buren,12/1/2004 00:00,80194
Van Buren,12/1/2005 00:00,84049
Van Buren,12/1/2006 00:00,73462
Van Buren,12/1/2007 00:00,71438
Van Buren,12/1/2008 00:00,46173
Van Buren,12/1/2009 00:00,53470
Van Buren,12/1/2010 00:00,53939
Van Buren,12/1/2011 00:00,56641
Van Buren,12/1/2012 00:00,56495
Van Buren,12/1/2013 00:00,51491
Van Buren,12/1/2014 00:00,47885
Van Buren,12/1/2015 00:00,33798
Van Buren,12/1/2016 00:00,33660
Van Buren,12/1/2017 00:00,32126
Van Buren,12/1/2018 00:00,29701
Van Buren,12/1/2019 00:00,33486
Van Buren,2/1/1996 00:00,95338
Van Buren,2/1/1997 00:00,82919
Van Buren,2/1/1998 00:00,95694
Van Buren,2/1/1999 00:00,76696
Van Buren,2/1/2000 00:00,62263
Van Buren,2/1/2001 00:00,66140
Van Buren,2/1/2002 00:00,59393
Van Buren,2/1/2003 00:00,61960
Van Buren,2/1/2004 00:00,28699
Van Buren,2/1/2005 00:00,74412
Van Buren,2/1/2006 00:00,76134
Van Buren,2/1/2007 00:00,63514
Van Buren,2/1/2008 00:00,61265
Van Buren,2/1/2009 00:00,44053
Van Buren,2/1/2010 00:00,44503
Van Buren,2/1/2011 00:00,45658
Van Buren,2/1/2012 00:00,51527
Van Buren,2/1/2013 00:00,48764
Van Buren,2/1/2014 00:00,44886
Van Buren,2/1/2015 00:00,37084
Van Buren,2/1/2016 00:00,27548
Van Buren,2/1/2017 00:00,30499
Van Buren,2/1/2018 00:00,27964
Van Buren,2/1/2019 00:00,25533
Van Buren,2/1/2020 00:00,28747
Van Buren,3/1/1996 00:00,109053
Van Buren,3/1/1997 00:00,100910
Van Buren,3/1/1998 00:00,107478
Van Buren,3/1/1999 00:00,88091
Van Buren,3/1/2000 00:00,81210
Van Buren,3/1/2001 00:00,77083
Van Buren,3/1/2002 00:00,70866
Van Buren,3/1/2003 00:00,69203
Van Buren,3/1/2004 00:00,52680
Van Buren,3/1/2005 00:00,32223
Van Buren,3/1/2006 00:00,92721
Van Buren,3/1/2007 00:00,80827
Van Buren,3/1/2008 00:00,65471
Van Buren,3/1/2009 00:00,51199
Van Buren,3/1/2010 00:00,56740
Van Buren,3/1/2011 00:00,56012
Van Buren,3/1/2012 00:00,61552
Van Buren,3/1/2013 00:00,58860
Van Buren,3/1/2014 00:00,49820
Van Buren,3/1/2015 00:00,41540
Van Buren,3/1/2016 00:00,30569
Van Buren,3/1/2017 00:00,35110
Van Buren,3/1/2018 00:00,32469
Van Buren,3/1/2019 00:00,32481
Van Buren,4/1/1996 00:00,107203
Van Buren,4/1/1997 00:00,114775
Van Buren,4/1/1998 00:00,110425
Van Buren,4/1/1999 00:00,85441
Van Buren,4/1/2000 00:00,77152
Van Buren,4/1/2001 00:00,74197
Van Buren,4/1/2002 00:00,73467
Van Buren,4/1/2003 00:00,45912
Van Buren,4/1/2004 00:00,81883
Van Buren,4/1/2005 00:00,37432
Van Buren,4/1/2006 00:00,96288
Van Buren,4/1/2007 00:00,74602
Van Buren,4/1/2008 00:00,72081
Van Buren,4/1/2009 00:00,48648
Van Buren,4/1/2010 00:00,58120
Van Buren,4/1/2011 00:00,59291
Van Buren,4/1/2012 00:00,63107
Van Buren,4/1/2013 00:00,58593
Van Buren,4/1/2014 00:00,52446
Van Buren,4/1/2015 00:00,42044
Van Buren,4/1/2016 00:00,34042
Van Buren,4/1/2017 00:00,36146
Van Buren,4/1/2018 00:00,33802
Van Buren,4/1/2019 00:00,36736
Van Buren,5/1/1996 00:00,122158
Van Buren,5/1/1997 00:00,124560
Van Buren,5/1/1998 00:00,121906
Van Buren,5/1/1999 00:00,90943
Van Buren,5/1/2000 00:00,94125
Van Buren,5/1/2001 00:00,93224
Van Buren,5/1/2002 00:00,80681
Van Buren,5/1/2003 00:00,81501
Van Buren,5/1/2004 00:00,41246
Van Buren,5/1/2005 00:00,91067
Van Buren,5/1/2006 00:00,99193
Van Buren,5/1/2007 00:00,92851
Van Buren,5/1/2008 00:00,69557
Van Buren,5/1/2009 00:00,57464
Van Buren,5/1/2010 00:00,62470
Van Buren,5/1/2011 00:00,65651
Van Buren,5/1/2012 00:00,71453
Van Buren,5/1/2013 00:00,63402
Van Buren,5/1/2014 00:00,57595
Van Buren,5/1/2015 00:00,47765
Van Buren,5/1/2016 00:00,37606
Van Buren,5/1/2017 00:00,38577
