A,State,Date,Value
673,ME,12/1/2016 0:00,448247
674,ME,12/1/2017 0:00,450908
675,ME,12/1/2018 0:00,425777
676,ME,12/1/2019 0:00,433258
677,ME,2/1/1996 0:00,1028579
678,ME,2/1/1997 0:00,938676
679,ME,2/1/1998 0:00,984778
680,ME,2/1/1999 0:00,922903
681,ME,2/1/2000 0:00,898849
682,ME,2/1/2001 0:00,809584
683,ME,2/1/2002 0:00,673724
684,ME,2/1/2003 0:00,742625
685,ME,2/1/2004 0:00,823920
686,ME,2/1/2005 0:00,758735
687,ME,2/1/2006 0:00,805555
688,ME,2/1/2007 0:00,614466
689,ME,2/1/2008 0:00,625556
690,ME,2/1/2009 0:00,509390
691,ME,2/1/2010 0:00,566214
692,ME,2/1/2011 0:00,545501
693,ME,2/1/2012 0:00,592739
694,ME,2/1/2013 0:00,549068
695,ME,2/1/2014 0:00,509040
696,ME,2/1/2015 0:00,445214
697,ME,2/1/2016 0:00,375151
698,ME,2/1/2017 0:00,380145
699,ME,2/1/2018 0:00,378120
700,ME,2/1/2019 0:00,344354
701,ME,2/1/2020 0:00,373627
702,ME,3/1/1996 0:00,1140686
703,ME,3/1/1997 0:00,1057859
704,ME,3/1/1998 0:00,1081911
705,ME,3/1/1999 0:00,988373
706,ME,3/1/2000 0:00,1042602
707,ME,3/1/2001 0:00,920350
708,ME,3/1/2002 0:00,809948
709,ME,3/1/2003 0:00,795574
710,ME,3/1/2004 0:00,957146
711,ME,3/1/2005 0:00,840814
712,ME,3/1/2006 0:00,965318
713,ME,3/1/2007 0:00,680294
714,ME,3/1/2008 0:00,609609
715,ME,3/1/2009 0:00,590727
716,ME,3/1/2010 0:00,652343
717,ME,3/1/2011 0:00,657872
718,ME,3/1/2012 0:00,696405
719,ME,3/1/2013 0:00,678998
720,ME,3/1/2014 0:00,578962
721,ME,3/1/2015 0:00,497306
722,ME,3/1/2016 0:00,428557
723,ME,3/1/2017 0:00,446651
724,ME,3/1/2018 0:00,447529
725,ME,3/1/2019 0:00,424278
726,ME,4/1/1996 0:00,1107516
727,ME,4/1/1997 0:00,1046195
728,ME,4/1/1998 0:00,1106169
729,ME,4/1/1999 0:00,1013678
730,ME,4/1/2000 0:00,1013985
